rank,filename,video_id,margin_score,matched_prompt,blur_score,raw_positive_score
4,PREVENTIVE_SC-3td5-pdY_F031.jpg,SC-3td5-pdY,0.0569,a photo of a cigarette pack,1344.6,0.2838
8,PREVENTIVE_LVKLxfNguLw_F052.jpg,LVKLxfNguLw,0.0534,"a person smoking a cigarette, cigarette clearly visible",475.3,0.2961
9,PREVENTIVE_LVKLxfNguLw_F059.jpg,LVKLxfNguLw,0.0513,"a person smoking a cigarette, cigarette clearly visible",497.7,0.2846
10,PREVENTIVE_LVKLxfNguLw_F116.jpg,LVKLxfNguLw,0.0508,"a vape or e-cigarette device, clearly visible",1685.4,0.2466
17,PREVENTIVE_wAH0z3cIAL0_F093.jpg,wAH0z3cIAL0,0.0464,a photo of a cigarette pack,147.6,0.2591
24,PREVENTIVE_ZDTWVDRbgQc_F031.jpg,ZDTWVDRbgQc,0.0405,"workers manufacturing cigarettes or pan masala in a factory, product visible",275.3,0.2627
30,PREVENTIVE_uWimehBOIHM_F045.jpg,uWimehBOIHM,0.0385,"workers manufacturing cigarettes or pan masala in a factory, product visible",198.3,0.2608
34,PREVENTIVE_LVKLxfNguLw_F050.jpg,LVKLxfNguLw,0.0374,"a person smoking a cigarette, cigarette clearly visible",469.5,0.2780
36,PREVENTIVE_wAH0z3cIAL0_F100.jpg,wAH0z3cIAL0,0.0371,"a person smoking a cigarette, cigarette clearly visible",830.0,0.2734
37,PREVENTIVE_uWimehBOIHM_F040.jpg,uWimehBOIHM,0.0366,"a person smoking a cigarette, cigarette clearly visible",337.8,0.2750
38,PREVENTIVE_D4hCpB5nAx0_F028.jpg,D4hCpB5nAx0,0.0366,"a can of beer, clearly visible",105.7,0.2814
42,PREVENTIVE_wAH0z3cIAL0_F103.jpg,wAH0z3cIAL0,0.0361,a photo of a cigarette pack,308.9,0.2813
44,PREVENTIVE_LVKLxfNguLw_F053.jpg,LVKLxfNguLw,0.0358,"a person smoking a cigarette, cigarette clearly visible",467.0,0.2829
46,PREVENTIVE_D4hCpB5nAx0_F010.jpg,D4hCpB5nAx0,0.0346,"a can of beer, clearly visible",100.3,0.2860
48,PREVENTIVE_SC-3td5-pdY_F027.jpg,SC-3td5-pdY,0.0339,"a person smoking a cigarette, cigarette clearly visible",807.2,0.2733
49,PREVENTIVE_wAH0z3cIAL0_F711.jpg,wAH0z3cIAL0,0.0336,"workers manufacturing cigarettes or pan masala in a factory, product visible",648.4,0.2650
51,PREVENTIVE_D4hCpB5nAx0_F016.jpg,D4hCpB5nAx0,0.0333,"a can of beer, clearly visible",113.9,0.2892
52,PREVENTIVE_LVKLxfNguLw_F062.jpg,LVKLxfNguLw,0.0327,"a person smoking a cigarette, cigarette clearly visible",635.7,0.2804
53,PREVENTIVE_D4hCpB5nAx0_F005.jpg,D4hCpB5nAx0,0.0324,"a can of beer, clearly visible",102.5,0.2819
54,PREVENTIVE_D4hCpB5nAx0_F017.jpg,D4hCpB5nAx0,0.0321,"a can of beer, clearly visible",130.1,0.2887
55,PREVENTIVE_wAH0z3cIAL0_F710.jpg,wAH0z3cIAL0,0.0319,"workers manufacturing cigarettes or pan masala in a factory, product visible",647.7,0.2684
58,PREVENTIVE_SC-3td5-pdY_F028.jpg,SC-3td5-pdY,0.0314,"a person smoking a cigarette, cigarette clearly visible",807.3,0.2695
60,PREVENTIVE_LVKLxfNguLw_F096.jpg,LVKLxfNguLw,0.0304,"a vape or e-cigarette device, clearly visible",940.0,0.2809
61,PREVENTIVE_LVKLxfNguLw_F032.jpg,LVKLxfNguLw,0.0302,a photo of a cigarette pack,276.6,0.2596
62,PREVENTIVE_D4hCpB5nAx0_F033.jpg,D4hCpB5nAx0,0.0298,"a can of beer, clearly visible",106.2,0.2791
63,PREVENTIVE_T7P-MgQLIPw_F030.jpg,T7P-MgQLIPw,0.0296,"a vape or e-cigarette device, clearly visible",872.3,0.2654
70,PREVENTIVE_D4hCpB5nAx0_F031.jpg,D4hCpB5nAx0,0.0288,"a can of beer, clearly visible",126.5,0.2719
71,PREVENTIVE_wAH0z3cIAL0_F098.jpg,wAH0z3cIAL0,0.0284,a photo of a cigarette pack,572.7,0.2717
72,PREVENTIVE_D4hCpB5nAx0_F006.jpg,D4hCpB5nAx0,0.0283,"a can of beer, clearly visible",100.2,0.2705
73,PREVENTIVE_RTc5NgyiGTs_F015.jpg,RTc5NgyiGTs,0.0282,"a can of beer, clearly visible",862.9,0.2418
75,PREVENTIVE_D4hCpB5nAx0_F030.jpg,D4hCpB5nAx0,0.0271,"a can of beer, clearly visible",124.9,0.2787
77,PREVENTIVE_D4hCpB5nAx0_F027.jpg,D4hCpB5nAx0,0.0269,"a can of beer, clearly visible",126.9,0.2745
78,PREVENTIVE_D4hCpB5nAx0_F022.jpg,D4hCpB5nAx0,0.0269,"a can of beer, clearly visible",128.6,0.2755
80,PREVENTIVE_uWimehBOIHM_F023.jpg,uWimehBOIHM,0.0268,a hookah pipe,419.2,0.2389
83,PREVENTIVE_wAH0z3cIAL0_F712.jpg,wAH0z3cIAL0,0.0266,"workers manufacturing cigarettes or pan masala in a factory, product visible",1005.6,0.2552
85,PREVENTIVE_wAH0z3cIAL0_F095.jpg,wAH0z3cIAL0,0.0261,a photo of a cigarette pack,309.3,0.2878
87,PREVENTIVE_l8K_f4DVvVc_F016.jpg,l8K_f4DVvVc,0.0257,a photo of a cigarette pack,100.9,0.2492
88,PREVENTIVE_D4hCpB5nAx0_F018.jpg,D4hCpB5nAx0,0.0255,"a can of beer, clearly visible",121.5,0.2740
89,PREVENTIVE_wAH0z3cIAL0_F717.jpg,wAH0z3cIAL0,0.0255,"workers manufacturing cigarettes or pan masala in a factory, product visible",1530.1,0.2652
90,PREVENTIVE_RTc5NgyiGTs_F105.jpg,RTc5NgyiGTs,0.0253,"a can of beer, clearly visible",1085.9,0.2666
91,PREVENTIVE_RTc5NgyiGTs_F016.jpg,RTc5NgyiGTs,0.0252,"a can of beer, clearly visible",890.0,0.2450
92,PREVENTIVE_D4hCpB5nAx0_F011.jpg,D4hCpB5nAx0,0.0252,"a can of beer, clearly visible",117.2,0.2754
95,PREVENTIVE_D4hCpB5nAx0_F007.jpg,D4hCpB5nAx0,0.0250,"a can of beer, clearly visible",122.3,0.2646
100,PREVENTIVE_T7P-MgQLIPw_F002.jpg,T7P-MgQLIPw,0.0238,a pouch or sachet of gutka or pan masala with visible branding,143.2,0.2280
103,PREVENTIVE_T7P-MgQLIPw_F035.jpg,T7P-MgQLIPw,0.0230,"a vape or e-cigarette device, clearly visible",1005.7,0.2724
105,PREVENTIVE_wAH0z3cIAL0_F715.jpg,wAH0z3cIAL0,0.0227,"workers manufacturing cigarettes or pan masala in a factory, product visible",1383.2,0.2514
107,PREVENTIVE_D4hCpB5nAx0_F029.jpg,D4hCpB5nAx0,0.0223,"a can of beer, clearly visible",122.6,0.2729
109,PREVENTIVE_IHR158IF6YU_F018.jpg,IHR158IF6YU,0.0222,"workers manufacturing cigarettes or pan masala in a factory, product visible",117.8,0.2536
111,PREVENTIVE_D4hCpB5nAx0_F021.jpg,D4hCpB5nAx0,0.0221,"a can of beer, clearly visible",136.7,0.2715
112,PREVENTIVE_wAH0z3cIAL0_F590.jpg,wAH0z3cIAL0,0.0219,a pouch or sachet of gutka or pan masala with visible branding,158.5,0.2394
114,PREVENTIVE_D4hCpB5nAx0_F004.jpg,D4hCpB5nAx0,0.0213,"a can of beer, clearly visible",109.8,0.2738
